time,system_demand,demand_7da,temp,sce_gas_price,solar_7da,price,solar_gen,wind_gen,clouds,humidity,feels_like,wind_deg,wind_speed,wind_gust,pressure,uvi
2/1/23 0:00,,23662.13,49.05,15.88,0,113.36453,-8.416666667,575.1666667,0,47,,0,0,,1025,0
2/1/23 1:00,,23027.49,48.83,15.88,0,109.70364,-7.166666667,647.5833333,0,43,,0,0,,1025,0
2/1/23 2:00,,22661.2,48.85,15.88,0,107.85766,-8,613.6666667,0,44,,20,1.99,8.99,1031,0
2/1/23 3:00,,22623.8,48.07,15.88,0,109.3712,-8.25,557.1666667,0,41,,4,1.99,5.01,1027,0
2/1/23 4:00,23008,23250.2,48.2,15.88,0,114.69519,-8.166666667,574.9166667,0,40,,351,3,11.01,1030,0
2/1/23 5:00,24625,24582.06,48.04,15.88,0,133.84972,-12.25,633.75,6,46,,25,1.99,7,1020,0
2/1/23 6:00,26711,26480.72,46.99,15.88,43.77,157.5476,19.83333333,669.75,4,48,46.27,23,3,8.01,1031,0
2/1/23 7:00,27131,27140.24,48.58,15.88,2066.38,141.3894,3160.416667,662.5833333,3,40,46.94,8,4.41,4.36,1022,0
2/1/23 8:00,25730,,49.46,15.88,6315.93,106.47592,12075.91667,633.1666667,0,45,49.46,2,1.01,5.01,1021,0.5
2/1/23 9:00,24125,,54.79,15.88,8014.83,84.55907,15610.16667,647,0,39,51.8,0,0,4.003333333,1029,1.4
2/1/23 10:00,23256,,59.88,15.88,8431.09,73.81587,15752.5,642,0,28,56.89,0,0,2.996666667,1029,2.56
2/1/23 11:00,22544,,63.03,15.88,8454.58,66.70556,15627.5,637.0833333,0,26,60.26,347,1.01,1.99,1029,3.55
2/1/23 12:00,21846,,65.66,15.88,8600.35,56.98534,15537.91667,723.4166667,0,25,63.1,216,1.99,5.01,1028,3.87
2/1/23 13:00,21634,21521.7,66.97,15.88,8547.41,50.81975,14897.16667,722.5,0,25,64.54,156,1.99,5.01,1026,3.39
2/1/23 14:00,22042,22065.44,67.41,15.88,8134.23,57.66629,10442.33333,720.3333333,0,31,65.3,160,4.61,4.51,1024,2.33
2/1/23 15:00,22661,23008.76,66.7,15.88,6349.54,89.37923,8610.166667,634.9166667,0,30,64.49,250,3.44,4.01,1024,1.2
2/1/23 16:00,24755,24805.51,64.76,15.88,2003.16,115.42092,3755.583333,483.25,0,31,62.4,260,4.61,3.51,1025,0.4
2/1/23 17:00,27042,27634.07,61.9,15.88,43.88,144.9482,222.4166667,349.9166667,0,37,59.52,210,4.61,3.01,1025,0
2/1/23 18:00,27758,28788.89,57.54,15.88,0,148.59508,-37.83333333,334.5,0,44,55.06,0,0,2.51,1027,0
2/1/23 19:00,27437,28512.02,55.36,15.88,0,139.6886,-38.5,422.6666667,0,,52.95,0,0,2.01,1029,0
2/1/23 20:00,26913,27962.41,54.03,15.88,0,125.38613,-30.83333333,523.75,0,58,51.85,0,0,1.51,1032,0
2/1/23 21:00,26026,27118.71,53.15,15.88,0,122.42764,-25.5,535.3333333,0,54,50.7,186,1.01,1.01,1030,0
2/1/23 22:00,24486,25622.36,53.33,15.88,0,114.23626,-25.58333333,500.8333333,0,52,50.81,0,0,1.285,1030,0
2/1/23 23:00,23356,24234.87,53.37,15.88,0,111.01931,-25.08333333,470.3333333,0,43,50.43,0,0,1.56,1024,0
2/2/23 0:00,22996,23243.27,53.29,21.74,0,142.4093,-25,545.5833333,0,44,50.4,0,0,1.835,1024,0
